lambda ion Z num_e gl gu fosc P
410.3715 NaIV 11 8 5 5 0.126 8.02
411.145 NaVIII 11 4 1 3 0.348 8.47
411.655 CrX 24 15 4 2 0.017 6.52
411.81 "B III" 5 3 2 4 0.0331 4.01
411.99 CrXIV 24 11 2 2 0.137 7.43
412.629 CrXI 24 14 1 3 0.063 7.09
413.112 CrVIII 24 17 4 2 0.0357 6.85
414.37 NaVI 11 6 1 3 0.1 7.93
415.5 ClXV 17 3 2 2 0.028 6.34
416.041 ScIX 21 13 2 2 0.14 4.86
416.69 CrX 24 15 4 4 0.033 6.82
417.24 FeXV 26 12 1 3 0.0032 7.64
417.61 "S XIV" 16 3 2 4 0.0639 8.7
418.29 CrIX 24 16 5 5 0.037 6.87
418.598 "O II" 8 7 4 6 0.00734 9.42
418.881 "O II" 8 7 4 4 0.00489 9.24
