lambda ion Z num_e gl gu fosc P
1674.5953 "P I" 15 15 4 4 0.0165 7.01
1679.6969 "P I" 15 15 4 6 0.0246 7.19
1683.4116 MgI 12 12 1 3 0.00271 8.24
1693.2935 SiI 14 14 1 3 0.156 9.97
1700.636 SiI 14 14 1 3 0.0398 9.38
1703.405 NiII 28 27 6 4 0.0122 7.57
1707.0606 MgI 12 12 1 3 0.00485 8.5
1709.6 NiII 28 27 6 6 0.0688 8.32
1741.549 NiII 28 27 6 6 0.104 8.51
1746.823 "N III" 7 5 2 4 8.19e-09 3.21
1747.7937 MgI 12 12 1 3 0.0102 8.83
1748.646 "N III" 7 5 2 2 1.55e-07 4.48
1750.517 "P III" 15 13 2 4 1.32e-06 2.93
1751.91 NiII 28 27 6 8 0.0638 8.3
1756.8 "P III" 15 13 2 2 1.58e-05 4.01
1762.892 AlI 13 13 2 4 0.266 9.15
1763.6607 SiI 14 14 1 3 0.0121 8.88
1765.632 AlI 13 13 2 2 0.531 9.45
1772.28 NiII 28 27 6 4 9.08e-05 5.46
1773.949 NiII 28 27 6 8 0.00622 7.29
1774.9487 "P I" 15 15 4 6 0.154 8.01
1782.758 "I I" 53 53 4 4 0.129 3.87
1782.8291 "P I" 15 15 4 4 0.102 7.83
1783.318 NiII 28 27 6 6 0.00117 6.57
1787.6481 "P I" 15 15 4 2 0.0511 7.53
1804.473 NiII 28 27 6 8 0.00716 7.36
1807.3113 "S I" 16 16 5 3 0.0845 9.45
1808.0126 SiII 14 13 2 4 0.00208 8.13
1816.9285 SiII* 14 13 "" -1 0.00165 8.03
1817.4512 SiII* 14 13 "" -1 0.000128 6.92
1817.564 NiII 28 27 6 6 0.000152 5.69
1817.843 "B I" 5 5 2 2 0.0156 4.33
1822.4553 SiI 14 14 1 3 0.00631 8.61
1825.896 "B I" 5 5 2 4 0.175 5.38
1827.9351 MgI 12 12 1 3 0.0283 9.29
1830.38 "I I" 53 53 4 6 0.0121 2.86
1841.1521 SiI 14 14 1 3 0.0291 9.28
1842.889 NiII 28 27 6 8 0.000883 6.46
1845.5202 SiI 14 14 1 3 0.271 10.25
1851.3804 FeI 26 26 "9 1" 1 0.00158 7.98
1851.688 FeI 26 26 9 7 0.0222 9.12
1854.7164 AlIII 13 11 2 4 0.575 9.51
1859.2635 FeI 26 26 9 7 0.00315 8.28
1862.7895 AlIII 13 11 2 2 0.286 9.21
1864.467 NiII 28 27 6 4 3.07e-06 4.01
1865.3093 FeI 26 26 9 9 0.00874 8.72
1873.0576 FeI 26 26 9 9 0.0032 8.29
1883.7789 FeI 26 26 "9 1" 1 0.00527 8.51
1888.01 FeII 26 "25 1" "0 1" 0 1.15e-05 5.85
1890.42 AsI 33 33 4 6 0.161 4.85
1892.03 SiIII 14 12 1 3 2.69e-05 6.26
1896.15 NiII 28 27 6 6 0.000905 6.48
1900.021 TiII 22 21 4 6 0.000446 4.86
1900.2866 "S I" 16 16 5 5 3.57e-05 6.1
1901.773 FeII 26 "25 1" 0 8 0.000101 6.79
1905.774 TiII 22 21 4 6 0.0161 6.42
1906.239 TiII 22 21 4 4 0.0228 6.57
1908.734 "C III" 6 4 1 3 1.23e-07 4.93
1910.609 TiII 22 21 4 2 0.0975 7.2
1910.938 TiII 22 21 4 4 0.0706 7.06
1915.2235 FeI 26 26 9 7 0.000586 7.56
1916.4 "V II" 23 22 1 3 0.000199 3.6
1932.27 AlI 13 13 2 2 0.0781 8.66
1934.5351 FeI 26 26 9 7 0.0111 8.84
1937.2685 FeI 26 26 9 7 0.00946 8.77
1937.59 AsI 33 33 4 4 0.113 4.71
1939.569 NiII 28 27 6 8 1.93e-06 3.82
1940.451 CrI 24 24 7 9 0.0125 7.06
1940.561 CrI 24 24 7 7 0.0097 6.95
1940.64 CrI 24 24 7 5 0.00693 6.81
1941.28 CoII 27 26 9 7 0.0755 7.08
1946.988 FeI 26 26 9 7 0.00528 8.52
1949.1427 FeI 26 26 9 9 0.00179 8.05
1954.7 BiI 83 83 4 6 0.103 3.01
1960.1441 FeI 26 26 "9 1" 1 0.00284 8.26
1970.88 "V II" 23 22 1 3 0.000335 3.84
1972.62 AsI 33 33 4 2 0.0584 4.4
1977.5979 SiI 14 14 1 3 0.0539 9.58
1984.841 CoII 27 26 9 7 5.94e-05 3.98
1996.047 MnI 25 25 6 4 0.0308 7.32
1998.539 CoII 27 26 9 7 0.000372 4.78
1999.5 MnI 25 25 6 6 0.0457 7.49
1999.54 BaII 56 55 2 4 0.012 3.59
2004.49 MnI 25 25 6 8 0.0608 7.62
2011.816 CrII 24 23 6 6 1.83e-05 4.25
2012.161 CoII 27 26 9 9 0.0466 6.88
2014.27 CrII 24 23 6 8 0.000875 5.93
2017.569 CrII 24 23 6 4 2.37e-06 3.36
2021.64 BiI 83 83 4 4 0.00368 1.58
2022.67 PbI 82 82 1 3 0.00957 3.34
2024.987 CuI 29 29 2 6 0.0181 5.83
2026.136 ZnII 30 29 2 4 0.515 7.67
2026.269 CrII 24 23 6 6 0.00471 6.66
2026.407 CoII 27 26 9 9 0.0605 7.0
2026.4768 MgI 12 12 1 3 0.122 9.97
2027.264 NiI 28 28 9 7 0.0116 7.62
2040.569 CrII 24 23 6 4 0.00441 6.63
2042.3676 GeI 32 32 1 3 0.206 6.25
2053.93 PbI 82 82 1 3 0.0228 3.72
2056.254 CrII 24 23 6 8 0.14 8.14
2059.471 CoII 27 26 "9 1" 1 0.013 6.34
2061.827 AgI 47 47 2 4 0.00395 2.15
2062.234 CrII 24 23 6 6 0.105 8.02
2062.39 BiI 83 83 4 6 0.0947 3.0
2062.664 ZnII 30 29 2 2 0.253 7.37
2066.161 CrII 24 23 6 4 0.0698 7.84
2066.436 "B III" 5 3 2 4 0.243 5.58
2067.893 "B III" 5 3 2 2 0.121 5.28
2070.511 AgI 47 47 2 2 0.000964 1.54
2073.74 SnI 50 50 1 3 0.00696 3.3
2076.797 CoII 27 26 9 7 3.23e-05 3.74
2078.011 FeI 26 26 9 7 0.00187 8.1
2083.446 CaI 20 20 1 3 0.00624 7.45
2084.7848 FeI 26 26 9 7 0.0189 9.11
2086.376 FeI 26 26 9 9 0.00108 7.86
2089.559 "B I" 5 5 2 4 0.0351 4.75
2090.1082 MgI 12 12 1 3 1.47e-07 4.07
2091.719 CoII 27 26 9 9 0.000488 4.92
2098.16 CaI 20 20 1 3 0.00997 7.66
2100.5707 FeI 26 26 "9 1" 1 0.00101 7.84
2108.8053 FeI 26 26 "9 1" 1 0.00212 8.16
2110.932 BiI 83 83 4 2 0.0304 2.52
2112.114 CoII 27 26 "9 1" 1 0.00179 5.49
2118.99 AlI 13 13 2 4 0.0139 7.95
2119.346 CaI 20 20 1 3 0.0154 7.85
2122.782 "V II" 23 22 1 3 0.00111 4.39
2125.883 CoII 27 26 9 7 8.69e-05 4.18
2127.2813 FeI 26 26 "9 1" 1 0.000534 7.57
2130.335 AlI 13 13 2 4 0.02 8.11
2132.6902 FeI 26 26 9 9 0.0052 8.55
2138.827 "V II" 23 22 1 3 0.082 6.26
2139.2473 ZnI 30 30 1 3 1.46 8.14
2139.2668 FeI 26 26 9 7 0.0015 8.02
2140.3726 FeI 26 26 9 9 0.0152 9.02
2141.767 "V II" 23 22 1 3 0.00805 5.26
2142.902 AlI 13 13 2 2 0.000531 6.54
2145.083 CdII 48 47 2 4 0.386 4.68
2146.23 AlI 13 13 2 4 0.0285 8.27
2151.472 CaI 20 20 1 3 0.0203 7.98
2158.85 CoII 27 26 9 9 0.000154 4.43
2165.229 AlI 13 13 2 2 0.000802 6.72
2165.775 CuI 29 29 2 4 0.0717 6.46
2167.4533 FeI 26 26 9 7 0.15 10.02
2169.27 TlI 81 81 2 4 0.0138 2.3
2169.5069 AlI 13 13 2 4 0.0417 8.44
2170.675 PbI 82 82 1 3 0.318 4.89
2178.01 BiI 83 83 4 2 0.000924 1.01
2179.632 CuI 29 29 2 4 0.13 6.72
2182.405 CuI 29 29 2 2 0.0648 6.42
2186.9338 FeI 26 26 "9 1" 1 0.000952 7.83
2196.03 GaI 31 31 2 2 0.00137 3.61
2199.868 AlI 13 13 2 2 0.0013 6.94
2201.414 CaI 20 20 1 3 0.0188 7.96
2203.67 CoII 27 26 9 9 0.000534 4.98
2205.3555 AlI 13 13 2 4 0.0637 8.63
2208.6665 SiI 14 14 1 3 0.0522 9.61
2209.497 MnI 25 25 6 4 0.0344 7.41
2214.54 MnI 25 25 6 6 0.0544 7.61
2222.523 MnI 25 25 6 8 0.0785 7.77
2226.389 CuI 29 29 2 2 0.0342 6.15
2227.07 SrI 38 38 1 3 0.00357 3.83
2228.933 BiI 83 83 4 4 0.0663 2.88
2231.319 BiI 83 83 4 6 0.291 3.52
2234.4472 FeII 26 "25 1" 0 8 2.42e-07 4.24
2238.34 SrI 38 38 1 3 0.00518 3.99
2238.51 TlI 81 81 2 4 0.0285 2.62
2244.961 CuI 29 29 2 4 0.0018 4.88
2246.745 SnI 50 50 1 3 0.363 5.05
2249.8768 FeII 26 "25 1" 0 8 0.00251 8.26
2251.488 FeI 26 26 9 9 0.00143 8.02
2254.02 SrI 38 38 1 3 0.00845 4.21
2255.498 NiI 28 28 9 9 0.00734 7.47
2255.71 GaI 31 31 2 2 0.00236 3.86
2256.573 NiI 28 28 9 9 0.00979 7.59
2258.705 AlI 13 13 2 2 0.00233 7.2
2260.2097 FeI 26 26 "9 1" 1 0.00654 8.68
2260.7805 FeII 26 "25 1" "0 1" 0 0.00372 8.43
2264.1637 AlI 13 13 2 4 0.0978 8.83
2264.1747 FeI 26 26 9 7 0.000476 7.54
2265.719 CdII 48 47 2 2 0.231 4.48
2275.99 SrI 38 38 1 3 0.0156 4.48
2276.169 CaI 20 20 1 3 0.0108 7.73
2276.7289 FeI 26 26 9 7 0.0101 8.87
2277.281 BiI 83 83 4 4 0.0194 2.36
2288.724 CdI 48 48 1 3 1.25 5.22
2290.69 NiI 28 28 9 7 0.128 8.72
2294.91 GaI 31 31 2 4 0.0111 4.54
2298.8769 FeI 26 26 9 9 0.0245 9.26
2299.663 MnII 25 24 7 5 0.000546 5.63
2305.714 MnII 25 24 7 7 0.00124 5.99
2308.1 SrI 38 38 1 3 0.0287 4.75
2311.669 NiI 28 28 9 9 0.377 9.19
2316.61 TlI 81 81 2 2 0.00627 1.98
2320.744 NiI 28 28 "9 1" 1 0.685 9.45
2324.214 "C II" 6 5 2 4 2.77e-09 3.37
2325.403 "C II" 6 5 2 2 4.48e-08 4.58
2329.231 SiII 14 13 2 4 2.15e-08 3.25
2335.123 SiII 14 13 2 2 3.72e-06 5.49
2338.202 NiI 28 28 9 7 0.0222 7.97
2344.214 FeII 26 "25 1" 0 8 0.11 9.92
2346.259 NiI 28 28 9 7 0.143 8.78
2348.228 NiI 28 28 9 9 0.0184 7.89
2349.329 BeI 4 4 1 3 1.39 4.93
2355.04 SrI 38 38 1 3 0.0449 4.95
2359.65 LiI 3 3 2 6 0.000363 3.24
2365.453 CrI 24 24 7 9 0.00569 6.81
2365.782 CoI 27 "27 1" "0 1" 0 0.0107 6.31
2366.634 CrI 24 24 7 7 0.00462 6.72
2367.534 CrI 24 24 7 5 0.00412 6.67
2367.5905 FeII 26 "25 1" 0 8 0.00016 7.09
2367.7762 AlI 13 13 2 4 0.128 8.96
2372.014 GaI 31 31 2 2 0.00481 4.19
2372.7944 AlI 13 13 2 2 0.00486 7.54
2374.267 LiI 3 3 2 6 0.000495 3.38
2374.4612 FeII 26 "25 1" "0 1" 0 0.0282 9.34
2380.31 TlI 81 81 2 4 0.0747 3.07
2382.765 FeII 26 "25 1" "0 1" 2 0.301 10.37
2385.587 CoI 27 "27 1" 0 8 0.0166 6.51
2395.116 LiI 3 3 2 6 0.000697 3.53
2399.289 CaI 20 20 1 3 0.00154 6.91
2407.983 CoI 27 "27 1" "0 1" 2 0.38 7.87
2425.668 CoI 27 "27 1" "0 1" 0 0.282 7.75
2426.163 LiI 3 3 2 6 0.000102 2.7
2428.69 AuI 79 79 2 4 0.352 3.76
2428.832 SrI 38 38 1 3 0.0451 4.97
2442.377 CuI 29 29 2 2 0.00179 4.91
2448.451 FeI 26 26 9 7 0.00231 8.26
2450.82 GaI 31 31 2 4 0.0504 5.22
2463.3923 FeI 26 26 9 9 0.0532 9.63
2473.9041 FeI 26 26 9 9 0.00252 8.3
2473.948 BaI 56 56 1 3 0.00127 2.71
2475.809 LiI 3 3 2 6 0.00158 3.9
2475.87 IrI 77 "77 1" "0 1" 0 0.0193 3.05
2484.0205 FeI 26 26 "9 1" 1 0.557 10.65
2487.1231 FeI 26 26 9 7 0.00222 8.25
2491.452 NaI 11 11 2 6 5e-05 5.41
2492.898 CuI 29 29 2 4 0.00579 5.43
2497.5243 "B I" 5 5 2 2 0.0808 5.18
2498.727 GeI 32 32 1 3 0.0365 5.59
2500.953 BaI 56 56 1 3 0.00422 3.23
2501.8858 FeI 26 26 9 7 0.0496 9.6
2503.737 IrI 77 "77 1" "0 1" 2 0.0372 3.34
2512.89 NaI 11 11 2 2 2.6e-05 5.13
2512.911 NaI 11 11 2 4 5.2e-05 5.43
2515.0725 SiI 14 14 1 3 0.236 10.32
2522.122 CoI 27 "27 1" 0 8 0.229 7.67
2523.6084 FeI 26 26 9 9 0.279 10.36
2537.279 HgI 80 80 1 3 0.0232 2.86
2541.585 ScII 21 20 3 5 0.0042 4.12
2543.964 BaI 56 56 1 3 0.0119 3.69
2544.604 NaI 11 11 2 4 8.85e-05 5.66
2544.636 NaI 11 11 2 2 4.42e-05 5.36
2547.313 SnI 50 50 1 3 0.0613 4.33
2556.561 ScII 21 20 3 3 0.0676 5.33
2560.918 InI 49 49 2 4 0.0786 3.12
2563.08 LiI 3 3 2 6 0.00258 4.13
2563.958 ScII 21 20 3 1 0.0887 5.45
2568.7523 AlI 13 13 2 4 0.0597 8.67
2570.239 SrI 38 38 1 3 0.0157 4.54
2576.877 MnII 25 24 7 9 0.351 8.49
2580.91 TlI 81 81 2 2 0.018 2.49
2586.65 FeII 26 "25 1" 0 8 0.0646 9.73
2594.499 MnII 25 24 7 7 0.271 8.38
2594.644 NaI 11 11 2 4 0.00017 5.95
2594.695 NaI 11 11 2 2 8.52e-05 5.65
2597.413 BaI 56 56 1 3 0.0364 4.19
2600.1729 FeII 26 "25 1" "0 1" 0 0.224 10.28
2606.462 MnII 25 24 7 5 0.193 8.23
2640.499 IrI 77 "77 1" "0 1" 0 0.0491 3.48
2647.289 BaI 56 56 1 3 0.00347 3.17
2652.3577 GeI 32 32 1 3 0.269 6.48
2653.265 AlI 13 13 2 2 0.0147 8.07
2660.665 GaI 31 31 2 2 0.0127 4.66
2669.948 AlII 13 12 1 3 1.07e-05 4.94
2676.75 AuI 79 79 2 2 0.176 3.5
2681.137 NaI 11 11 2 4 0.000401 6.34
2681.23 NaI 11 11 2 2 0.000201 6.04
2683.887 "V II" 23 22 1 3 0.103 6.46
2703.434 BaI 56 56 1 3 0.00822 3.56
2706.021 "V II" 23 22 1 3 0.0137 5.59
2719.833 FeI 26 26 9 7 0.119 10.02
2722.45 CaI 20 20 1 3 0.0201 8.08
2735.623 CaI 20 20 1 3 0.00406 7.39
2740.053 BaI 56 56 1 3 0.00307 3.13
2740.525 "V II" 23 22 1 3 0.102 6.47
2741.995 LiI 3 3 2 6 0.00431 4.38
2768.74 TlI 81 81 2 4 0.29 3.72
2786.098 BaI 56 56 1 3 0.00977 3.64
2795.641 MnI 25 25 6 8 0.565 8.73
2796.352 MgII 12 11 2 4 0.629 10.83
2799.094 MnI 25 25 6 6 0.419 8.6
2801.907 MnI 25 25 6 4 0.29 8.44
2803.531 MgII 12 11 2 2 0.314 10.52
2808.0709 FeI 26 26 9 7 0.000154 7.15
2833.894 PbI 82 82 1 3 0.209 4.82
2836.2904 FeI 26 26 9 9 0.000391 7.55
2852.9642 MgI 12 12 1 3 1.73 11.27
2853.649 NaI 11 11 2 4 0.00133 6.89
2853.85 NaI 11 11 2 2 0.000664 6.59
2864.165 SnI 50 50 1 3 0.199 4.9
2875.0157 FeI 26 26 "9 1" 1 0.00141 8.12
2875.078 GaI 31 31 2 4 0.303 6.07
2913.0101 FeI 26 26 9 7 0.00328 8.49
2932.688 SrI 38 38 1 3 0.00735 4.26
2934.392 TiI 22 22 5 7 0.0174 6.64
2937.7624 FeI 26 26 9 9 0.0168 9.2
2942.851 TiI 22 22 5 5 0.135 7.53
2949.26 "Y I" 39 39 4 4 0.0456 4.35
2967.7646 FeI 26 26 "9 1" 1 0.0438 9.62
2975.46 "Y I" 39 39 4 6 0.0697 4.54
2984.4402 FeI 26 26 9 7 0.029 9.45
2984.999 NiI 28 28 9 7 0.00685 7.56
2997.81 "Y I" 39 39 4 6 0.017 3.93
3006.14 "Y I" 39 39 4 4 0.0065 3.51
3016.246 ScI 21 21 4 6 0.16 5.77
3020.02 NiI 28 28 9 7 0.00685 7.57
3021.5187 FeI 26 26 9 9 0.104 10.01
3023.356 RbI 37 37 2 4 1.13e-05 0.93
3032.859 RbI 37 37 2 4 1.36e-05 1.02
3040.24 InI 49 49 2 4 0.36 3.86
3044.435 "V I" 23 23 4 6 0.037 6.07
3045.065 RbI 37 37 2 4 2.28e-05 1.24
3054.542 "V I" 23 23 4 4 0.181 6.76
3058.292 TiII 22 21 4 6 0.00466 6.08
3061.134 RbI 37 37 2 4 2.95e-05 1.36
3067.245 TiII 22 21 4 4 0.0466 7.09
3068.623 BiI 83 83 4 2 0.146 3.36
3072.476 BaI 56 56 1 3 0.174 4.94
3073.877 TiII 22 21 4 2 0.109 7.46
3076.794 ZnI 30 30 1 3 0.00014 4.28
3082.896 RbI 37 37 2 4 4.25e-05 1.52
3083.0479 AlI 13 13 2 4 0.162 9.18
3112.95 "Y II" 39 38 1 3 0.00567 3.47
3113.466 RbI 37 37 2 4 7.27e-05 1.75
3113.948 RbI 37 37 2 2 1.89e-05 1.17
3122.515 TiII 22 21 4 6 0.00128 5.53
3124.61 RhI 45 "45 1" 0 8 0.00539 2.32
3131.327 BeII 4 3 2 4 0.333 4.44
3131.973 BeII 4 3 2 2 0.167 4.14
3133.499 MoI 42 42 7 9 0.339 4.99
3146.018 NiI 28 28 9 7 2.43e-05 5.13
3148.961 TiII 22 21 4 4 0.0158 6.63
3156.57 "Y I" 39 39 4 6 0.000605 2.5
3158.441 RbI 37 37 2 4 0.000101 1.9
3159.07 MoI 42 42 7 7 0.0693 4.3
3159.17 RbI 37 37 2 2 2.99e-05 1.38
3171.251 MoI 42 42 7 7 0.207 4.78
3173.76 "Y I" 39 39 4 4 0.00149 2.89
3184.933 "V I" 23 23 4 6 0.547 7.26
3187.372 TiI 22 22 5 7 0.17 7.66
3192.582 FeI 26 26 9 7 0.000282 7.46
3194.149 FeI 26 26 9 9 0.000678 7.85
3194.892 MoI 42 42 7 5 0.167 4.69
3209.765 MoI 42 42 7 5 0.0306 3.95
3227.911 NiI 28 28 9 9 0.000351 6.3
3228.908 RbI 37 37 2 4 0.0002 2.21
3230.085 RbI 37 37 2 2 5.94e-05 1.68
3230.131 TiII 22 21 4 6 0.0586 7.21
3233.564 LiI 3 3 2 6 0.00481 4.5
3233.864 NiI 28 28 "9 1" 1 0.014 7.91
3242.929 TiII 22 21 4 4 0.183 7.7
3248.474 CuI 29 29 2 4 0.431 7.42
3256.623 ScI 21 21 4 4 0.0505 5.31
3261.991 CdI 48 48 1 3 0.00194 2.56
3270.842 ScI 21 21 4 2 0.251 6.0
3274.898 CuI 29 29 2 2 0.214 7.12
3281.627 AgI 47 47 2 4 0.452 4.41
3283.836 AgI 47 47 2 2 0.21 4.08
3290.31 YbII 70 69 2 4 0.584 4.23
3303.319 NaI 11 11 2 4 0.00901 7.78
3303.929 NaI 11 11 2 2 0.0045 7.48
3342.834 TiI 22 22 5 7 0.152 7.64
3349.655 RbI 37 37 2 4 0.000461 2.59
3351.772 RbI 37 37 2 2 0.00015 2.1
3353.012 ScII 21 20 3 5 0.0045 4.27
3362.231 ScII 21 20 3 3 0.0576 5.38
3362.897 ScII 21 20 3 1 0.0661 5.44
3370.531 NiI 28 28 9 7 0.0243 8.16
3384.74 TiII 22 21 4 6 0.34 7.99
3392.013 NiI 28 28 9 9 0.0114 7.84
3397.82 RhI 45 "45 1" "0 1" 0 0.112 3.67
3410.55 NiI 28 28 9 7 0.000496 6.48
3438.26 NiI 28 28 9 9 0.00787 7.68
3441.5921 FeI 26 26 9 7 0.0236 9.42
3447.359 "K I" 19 19 2 4 0.000599 5.44
3448.363 "K I" 19 19 2 2 0.000299 5.14
3485.05 "Y I" 39 39 4 6 0.00328 3.28
3497.08 "Y II" 39 38 1 3 0.192 5.05
3502.109 BaI 56 56 1 3 0.105 4.78
3503.526 RhI 45 "45 1" "0 1" 0 0.0791 3.53
3527.852 CoI 27 "27 1" "0 1" 0 0.024 6.84
3553.71 "Y I" 39 39 4 4 0.0435 4.41
3568.715 ScII 21 20 3 5 0.111 5.69
3579.705 CrI 24 24 7 9 0.366 8.8
3581.947 ScII 21 20 3 3 0.237 6.02
3588.069 RbI 37 37 2 4 0.00153 3.14
3592.593 RbI 37 37 2 2 0.000561 2.7
3594.507 CrI 24 24 7 7 0.29 8.7
3606.35 CrI 24 24 7 5 0.225 8.59
3612.461 CsI 55 55 2 4 0.000587 1.45
3618.3 CsI 55 55 2 2 4.91e-05 0.37
3636.498 TiI 22 22 5 7 0.223 7.84
3643.822 ScII 21 20 3 5 0.375 6.23
3650.3427 FeI 26 26 9 7 7e-05 6.92
3680.9611 FeI 26 26 9 9 0.0028 8.52
3693.408 RhI 45 "45 1" 0 8 0.149 3.83
3695.24 YbII 70 69 2 2 0.287 3.98
3718.449 TiI 22 22 5 7 0.0123 6.59
3720.9928 FeI 26 26 "9 1" 1 0.0412 9.7
3730.867 TiI 22 22 5 5 0.0891 7.45
3776.797 TlI 81 81 2 2 0.134 3.52
3794.685 "V I" 23 23 4 6 0.00256 5.01
3799.337 MoI 42 42 7 9 0.192 4.82
3809.599 "V I" 23 23 4 4 0.0322 6.11
3819.326 "V I" 23 23 4 2 0.0736 6.47
3825.5289 FeI 26 26 9 7 0.00483 8.78
3845.528 "V I" 23 23 4 6 0.0199 5.9
3856.455 "V I" 23 23 4 4 0.0736 6.47
3861.0058 FeI 26 26 9 9 0.0217 9.43
3864.422 NdII 60 59 "8 1" 0 0.042 3.68
3865.211 MoI 42 42 7 7 0.14 4.69
3877.204 CsI 55 55 2 4 0.00171 1.94
3888.448 TmI 69 69 8 8 0.0861 2.65
3889.667 CsI 55 55 2 2 0.00022 1.05
3890.43 BaI 56 56 1 3 0.00599 3.58
3904.074 MoI 42 42 7 5 0.101 4.56
3908.595 ScI 21 21 4 6 0.57 6.44
3934.777 CaII 20 19 2 4 0.65 9.75
3945.1224 AlI 13 13 2 2 0.123 9.17
3963.972 TiI 22 22 5 7 0.0136 6.66
3969.591 CaII 20 19 2 2 0.322 9.45
3982.888 TiI 22 22 5 5 0.0893 7.48
3989.11 YbI 70 70 1 3 1.26 4.65
3997.728 ScI 21 21 4 6 0.0593 5.46
4021.528 ScI 21 21 4 4 0.395 6.29
4031.892 MnI 25 25 6 8 0.0565 7.89
4034.127 GaI 31 31 2 2 0.123 5.83
4034.202 MnI 25 25 6 6 0.0402 7.74
4035.623 MnI 25 25 6 4 0.0258 7.55
4045.285 "K I" 19 19 2 4 0.00609 6.52
4048.356 "K I" 19 19 2 2 0.00304 6.22
4078.53 "Y I" 39 39 4 6 0.411 5.44
4078.865 SrII 38 37 2 4 0.708 6.39
4084.86 "Y I" 39 39 4 4 0.0625 4.63
4102.922 InI 49 49 2 2 0.141 3.58
4133.588 BaI 56 56 1 3 0.00546 3.56
4144.03 "Y I" 39 39 4 4 0.412 5.45
4203.035 RbI 37 37 2 4 0.00953 4.0
4205.87 "Y II" 39 38 1 3 0.0175 4.09
4216.711 SrII 38 37 2 2 0.338 6.08
4216.744 RbI 37 37 2 2 0.004 3.63
4217.3714 FeI 26 26 9 9 4.9e-05 6.83
4227.918 CaI 20 20 1 3 1.94 10.25
4255.529 CrI 24 24 7 9 0.11 8.35
4275.999 CrI 24 24 7 7 0.0839 8.23
4290.923 CrI 24 24 7 5 0.0622 8.11
4304.784 NdII 60 59 "8 1" 0 0.163 4.32
4361.155 TmI 69 69 8 6 0.0278 2.21
4377.1597 FeI 26 26 "9 1" 1 0.000104 7.17
4387.666 TmI 69 69 8 8 0.0121 1.86
4555.31 BaII 56 55 2 4 0.728 5.73
4556.698 CsI 55 55 2 4 0.0117 2.85
4572.3767 MgI 12 12 1 3 2.05e-06 5.55
4594.482 CsI 55 55 2 2 0.00253 2.19
4595.32 EuI 63 63 "8 1" 0 0.554 3.95
4608.622 SrI 38 38 1 3 1.92 6.88
4628.52 EuI 63 63 8 8 0.417 3.83
4644.99 "Y I" 39 39 4 6 0.0873 4.83
4663.19 EuI 63 63 8 6 0.318 3.71
4935.463 BaII 56 55 2 2 0.349 5.45
5111.8373 FeI 26 26 9 9 1.93e-05 6.5
5537.021 BaI 56 56 1 3 1.64 6.17
5558.02 YbI 70 70 1 3 0.0158 2.89
5891.5833 NaI 11 11 2 4 0.67 9.91
5897.5581 NaI 11 11 2 2 0.335 9.61
6193.44 "Y I" 39 39 4 4 0.027 4.44
6224.31 "Y I" 39 39 4 6 0.00514 3.73
6574.595 CaI 20 20 1 3 5.06e-05 5.86
6709.613 LiI 3 3 2 4 0.499 6.83
6709.764 LiI 3 3 2 2 0.249 6.53
7667.021 "K I" 19 19 2 4 0.682 8.85
7701.093 "K I" 19 19 2 2 0.339 8.55
7802.374 RbI 37 37 2 4 0.675 6.12
7913.514 BaI 56 56 1 3 0.00839 4.03
7949.79 RbI 37 37 2 2 0.322 5.81
